DATE,RS_FILENAME,COMPRESSED_SIZE,NUMBER_OF_OBJECTS,UNCOMPRESSED_SIZE,RS_SHA1_HASH,RC_FILENAME,RC_SHA256_HASH
2011-01,RS_2011-01.zst,123638415,837996,1071792096,d800f556042a32a4499b391c2fb03dfc4d694cef74a0d4826be165c2427edfd9,RC_2011-01.bz2,85939596d47a197eabf6953079ce50340357fe104f8fcb7a4071afc1d89fd0e1
2011-02,RS_2011-02.zst,119691628,822302,1041142374,976d210793c0b339d9ed8ebc2f4dc3c944c7b76a2db00e501800501715969311,RC_2011-02.bz2,5d3249667058c6e6a3d58c561ad948b6c9ab2a07dd1bd473df3ea0e66d4788df
2011-03,RS_2011-03.zst,142124078,976817,1245806272,7d2259c1e4646a849959f563c3aea41b23fbd9bd368fe8fe8cea2a6cf354a6fc,RC_2011-03.bz2,9e364497d7e202505a0b3a736581808052a205330a56d8c6d11cfb7dba5e760b
2011-04,RS_2011-04.zst,139367916,971371,1225163170,6c5847550ba15588f1f05c41a3bba89ca255d9b96a2cc4e0a806df3f8cee4348,RC_2011-04.bz2,b378dc567a83dddaea97808ae3047773da1aca82cd80e113f3fee67ee2becfc2
2011-05,RS_2011-05.zst,151966023,1081578,1350096885,4bb3117855d238461f449cad45289319533743ff0cd71c297f09fece0e7a16c7,RC_2011-05.bz2,730e7bb6616f1cefb9e8cc1f5a576780a4312e609b0827499d3be756f147c568
2011-06,RS_2011-06.zst,162700665,1153048,1444401474,ad2c07691a030e18b80d73dd0707bf53fd64ab857bb16b975013eea72a64efc7,RC_2011-06.bz2,5ee93d6cb18a56f4dc9c5315efe0da495e0ee9fdd8a5aa4ea4d82298b12ad4a2
2011-07,RS_2011-07.zst,180490212,1264991,1600156061,3def8e1e6ad7c8370a60e01b882ea9f4e0583c46f6de7341a9a9445d04519d2c,RC_2011-07.bz2,0e5dd69b67755fb06ad6c02cbd38ded53a26a151db13f33b7434de390175e09e
2011-08,RS_2011-08.zst,209622064,1448347,1855822299,3fd947ca20ac41df8ba59c4bb9eb03e54633f98a44a6cef50e07940554862d3a,RC_2011-08.bz2,b0a3045e974c2079f745d2b0ccf7e924217edfdfbd9fb682d0ace4a033216577
2011-09,RS_2011-09.zst,214126359,1482575,1893592471,de95fdd679215effc4816f0aac243752f0feac3443791266d2c695abbbb1790a,RC_2011-09.bz2,7823e4b89e034bb4b7dc392b109de86cf1d79192d6587c69c01e15d74928bfe4
2011-10,RS_2011-10.zst,237965612,1590673,2107640011,4c7f38b5752ae6d9d829671ba8216a9d9a63900f5815b3b24806039cc6480ba4,RC_2011-10.bz2,eef6314faf151074ebd3adb00080ff282105faaef3aefb28478f0d3cec7b7449
